Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q36557034,Undirected,32638,,,2
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q4107205,Undirected,32639,,,12
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q4154201,Undirected,32640,,,4
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q4706452,Undirected,32641,,,52
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q5367429,Undirected,32642,,,52
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q5450599,Undirected,32643,,,12
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q5450690,Undirected,32644,,,14
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q7360815,Undirected,32645,,,78
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q858532,Undirected,32646,,,12
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q937626,Undirected,32647,,,872
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q94522,Undirected,32648,,,12
http://www.wikidata.org/entity/Q21609912,https://orcid.org/0000-0002-6859-7726,Undirected,32649,,,40
http://www.wikidata.org/entity/Q21609965,http://www.wikidata.org/entity/Q708002,Undirected,32650,,,32
http://www.wikidata.org/entity/Q21610042,http://www.wikidata.org/entity/Q64091,Undirected,32651,,,2
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q21612315,Undirected,32652,,,2
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q4368181,Undirected,32653,,,22
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q4524504,Undirected,32654,,,26
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q75730409,Undirected,32655,,,6
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q77267640,Undirected,32656,,,2
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q79153657,Undirected,32657,,,2
http://www.wikidata.org/entity/Q21610085,http://www.wikidata.org/entity/Q79155997,Undirected,32658,,,4
http://www.wikidata.org/entity/Q21610300,http://www.wikidata.org/entity/Q4442569,Undirected,32659,,,2
http://www.wikidata.org/entity/Q21610484,http://www.wikidata.org/entity/Q4769441,Undirected,32660,,,4
http://www.wikidata.org/entity/Q21610508,http://www.wikidata.org/entity/Q5711519,Undirected,32661,,,62
http://www.wikidata.org/entity/Q21610818,http://www.wikidata.org/entity/Q6067147,Undirected,32662,,,4
http://www.wikidata.org/entity/Q21610818,http://www.wikidata.org/entity/Q622276,Undirected,32663,,,34
http://www.wikidata.org/entity/Q21610818,http://www.wikidata.org/entity/Q720666,Undirected,32664,,,28
http://www.wikidata.org/entity/Q21610895,http://www.wikidata.org/entity/Q5547566,Undirected,32665,,,8
http://www.wikidata.org/entity/Q21610906,http://www.wikidata.org/entity/Q5077883,Undirected,32666,,,18
http://www.wikidata.org/entity/Q21610906,http://www.wikidata.org/entity/Q614703,Undirected,32667,,,40
http://www.wikidata.org/entity/Q21610936,http://www.wikidata.org/entity/Q29885,Undirected,32668,,,18
http://www.wikidata.org/entity/Q21610943,http://www.wikidata.org/entity/Q2176541,Undirected,32669,,,4
http://www.wikidata.org/entity/Q21611044,http://www.wikidata.org/entity/Q39008,Undirected,32670,,,10
http://www.wikidata.org/entity/Q21611228,http://www.wikidata.org/entity/Q21612935,Undirected,32671,,,2
http://www.wikidata.org/entity/Q21611228,http://www.wikidata.org/entity/Q78599,Undirected,32672,,,2
http://www.wikidata.org/entity/Q21611235,http://www.wikidata.org/entity/Q3184048,Undirected,32673,,,40
http://www.wikidata.org/entity/Q21611242,http://www.wikidata.org/entity/Q5401518,Undirected,32674,,,2
http://www.wikidata.org/entity/Q21611293,http://www.wikidata.org/entity/Q5363183,Undirected,32675,,,12
http://www.wikidata.org/entity/Q21611303,http://www.wikidata.org/entity/Q4105706,Undirected,32676,,,2
http://www.wikidata.org/entity/Q21611707,http://www.wikidata.org/entity/Q5676417,Undirected,32677,,,2
http://www.wikidata.org/entity/Q21611707,http://www.wikidata.org/entity/Q5868664,Undirected,32678,,,2
http://www.wikidata.org/entity/Q21611707,http://www.wikidata.org/entity/Q74049104,Undirected,32679,,,8
http://www.wikidata.org/entity/Q21611707,http://www.wikidata.org/entity/Q79153657,Undirected,32680,,,14
http://www.wikidata.org/entity/Q21611707,http://www.wikidata.org/entity/Q95175836,Undirected,32681,,,86
http://www.wikidata.org/entity/Q21612108,http://www.wikidata.org/entity/Q4087521,Undirected,32682,,,88
http://www.wikidata.org/entity/Q21612315,http://www.wikidata.org/entity/Q4368181,Undirected,32683,,,2
http://www.wikidata.org/entity/Q21612315,http://www.wikidata.org/entity/Q6016606,Undirected,32684,,,4
http://www.wikidata.org/entity/Q21612315,http://www.wikidata.org/entity/Q60816867,Undirected,32685,,,10
http://www.wikidata.org/entity/Q21612379,http://www.wikidata.org/entity/Q743785,Undirected,32686,,,8
http://www.wikidata.org/entity/Q21612552,http://www.wikidata.org/entity/Q7323833,Undirected,32687,,,22
http://www.wikidata.org/entity/Q21612692,http://www.wikidata.org/entity/Q5657931,Undirected,32688,,,2
http://www.wikidata.org/entity/Q21612723,http://www.wikidata.org/entity/Q2656885,Undirected,32689,,,50
http://www.wikidata.org/entity/Q21612723,http://www.wikidata.org/entity/Q5877838,Undirected,32690,,,6
http://www.wikidata.org/entity/Q21612723,http://www.wikidata.org/entity/Q817600,Undirected,32691,,,12
http://www.wikidata.org/entity/Q21612723,http://www.wikidata.org/entity/Q97368240,Undirected,32692,,,32
http://www.wikidata.org/entity/Q21612729,http://www.wikidata.org/entity/Q266663,Undirected,32693,,,4166
http://www.wikidata.org/entity/Q21612729,http://www.wikidata.org/entity/Q6167727,Undirected,32694,,,8876
http://www.wikidata.org/entity/Q21612729,http://www.wikidata.org/entity/Q75991587,Undirected,32695,,,4790
http://www.wikidata.org/entity/Q21612729,http://www.wikidata.org/entity/Q973709,Undirected,32696,,,2
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q2426520,Undirected,32697,,,2
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q5936543,Undirected,32698,,,4
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q78599,Undirected,32699,,,2
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q78746,Undirected,32700,,,8
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q78835,Undirected,32701,,,24
http://www.wikidata.org/entity/Q21612935,http://www.wikidata.org/entity/Q85207,Undirected,32702,,,2
http://www.wikidata.org/entity/Q21613289,http://www.wikidata.org/entity/Q2656885,Undirected,32703,,,2
http://www.wikidata.org/entity/Q21613289,http://www.wikidata.org/entity/Q97368240,Undirected,32704,,,2
http://www.wikidata.org/entity/Q21613720,http://www.wikidata.org/entity/Q840188,Undirected,32705,,,8
http://www.wikidata.org/entity/Q2162099,http://www.wikidata.org/entity/Q5344793,Undirected,32706,,,2
http://www.wikidata.org/entity/Q21715144,http://www.wikidata.org/entity/Q4107205,Undirected,32707,,,2
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q2426520,Undirected,32708,,,2
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q3776531,Undirected,32709,,,966
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q3904186,Undirected,32710,,,1094
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q56175,Undirected,32711,,,2
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q5936543,Undirected,32712,,,2
http://www.wikidata.org/entity/Q2176541,http://www.wikidata.org/entity/Q78746,Undirected,32713,,,2
http://www.wikidata.org/entity/Q21772597,http://www.wikidata.org/entity/Q22111516,Undirected,32714,,,68
http://www.wikidata.org/entity/Q21994833,http://www.wikidata.org/entity/Q5744303,Undirected,32715,,,2
http://www.wikidata.org/entity/Q2209907,http://www.wikidata.org/entity/Q440696,Undirected,32716,,,2
http://www.wikidata.org/entity/Q2209907,http://www.wikidata.org/entity/Q724785,Undirected,32717,,,4
http://www.wikidata.org/entity/Q22102319,http://www.wikidata.org/entity/Q84167374,Undirected,32718,,,2
http://www.wikidata.org/entity/Q22102680,http://www.wikidata.org/entity/Q22113085,Undirected,32719,,,1832
http://www.wikidata.org/entity/Q22102680,http://www.wikidata.org/entity/Q3518898,Undirected,32720,,,1838
http://www.wikidata.org/entity/Q22102680,http://www.wikidata.org/entity/Q5345292,Undirected,32721,,,252
http://www.wikidata.org/entity/Q22102680,http://www.wikidata.org/entity/Q61813134,Undirected,32722,,,6
http://www.wikidata.org/entity/Q22102680,http://www.wikidata.org/entity/Q61814950,Undirected,32723,,,482
http://www.wikidata.org/entity/Q22103900,http://www.wikidata.org/entity/Q89314,Undirected,32724,,,2
http://www.wikidata.org/entity/Q22105947,http://www.wikidata.org/entity/Q55068585,Undirected,32725,,,12
http://www.wikidata.org/entity/Q22106426,http://www.wikidata.org/entity/Q4861425,Undirected,32726,,,44
http://www.wikidata.org/entity/Q22106426,http://www.wikidata.org/entity/Q5345292,Undirected,32727,,,8
http://www.wikidata.org/entity/Q22106426,http://www.wikidata.org/entity/Q64334571,Undirected,32728,,,150
http://www.wikidata.org/entity/Q22106426,http://www.wikidata.org/entity/Q82035773,Undirected,32729,,,28
http://www.wikidata.org/entity/Q22106544,https://orcid.org/0000-0001-7089-7018,Undirected,32730,,,22
