"","person_id_1","person_id_2","records"
"1432","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q21513956",4
"1433","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q21514418",2
"1434","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q21610818",10
"1435","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q622276",116
"1436","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q720666",60
"1437","http://www.wikidata.org/entity/Q18548822","http://www.wikidata.org/entity/Q21513956",8
"1438","http://www.wikidata.org/entity/Q18548822","http://www.wikidata.org/entity/Q4153111",6
"1439","http://www.wikidata.org/entity/Q18548822","http://www.wikidata.org/entity/Q720666",6
"1440","http://www.wikidata.org/entity/Q18600335","http://www.wikidata.org/entity/Q19521880",2
"1441","http://www.wikidata.org/entity/Q18600335","http://www.wikidata.org/entity/Q6530702",6
"1442","http://www.wikidata.org/entity/Q18633472","http://www.wikidata.org/entity/Q21341060",32
"1443","http://www.wikidata.org/entity/Q18633472","http://www.wikidata.org/entity/Q21387738",2
"1444","http://www.wikidata.org/entity/Q1863629","http://www.wikidata.org/entity/Q2332170",2
"1445","http://www.wikidata.org/entity/Q18640601","http://www.wikidata.org/entity/Q21339137",2
"1446","http://www.wikidata.org/entity/Q18640601","http://www.wikidata.org/entity/Q2868331",4
"1447","http://www.wikidata.org/entity/Q18640601","http://www.wikidata.org/entity/Q36499760",240
"1448","http://www.wikidata.org/entity/Q18670638","http://www.wikidata.org/entity/Q99639293",44
"1449","http://www.wikidata.org/entity/Q18679072","http://www.wikidata.org/entity/Q221912",28
"1450","http://www.wikidata.org/entity/Q18708357","http://www.wikidata.org/entity/Q63764",26
"1451","http://www.wikidata.org/entity/Q1871480","http://www.wikidata.org/entity/Q983999",32
"1452","http://www.wikidata.org/entity/Q18716123","http://www.wikidata.org/entity/Q24890352",4
