,gen1,gen2,bd1,bd2,agediff,genderdiff,id1,id2
4625,male,male,1907-04-09T00:00:00Z,1894-04-30T00:00:00Z,12.947945205479453,m-m,http://www.wikidata.org/entity/Q1413874,http://www.wikidata.org/entity/Q1507563
4626,male,male,1907-04-09T00:00:00Z,1905-12-16T00:00:00Z,1.3123287671232877,m-m,http://www.wikidata.org/entity/Q1413874,http://www.wikidata.org/entity/Q730026
4627,male,male,1907-04-09T00:00:00Z,1890-09-26T00:00:00Z,16.542465753424658,m-m,http://www.wikidata.org/entity/Q1413874,http://www.wikidata.org/entity/Q1685853
4628,male,male,1902-02-12T00:00:00Z,1926-12-04T00:00:00Z,24.824657534246576,m-m,http://www.wikidata.org/entity/Q6170741,http://www.wikidata.org/entity/Q18763674
4629,male,male,1899-01-01T00:00:00Z,1902-04-09T00:00:00Z,3.2684931506849315,m-m,http://www.wikidata.org/entity/Q3131261,http://www.wikidata.org/entity/Q956408
4630,male,male,1946-01-03T00:00:00Z,1913-06-21T00:00:00Z,32.558904109589044,m-m,http://www.wikidata.org/entity/Q17418645,http://www.wikidata.org/entity/Q94668599
4631,male,male,1946-01-03T00:00:00Z,1927-10-13T00:00:00Z,18.23835616438356,m-m,http://www.wikidata.org/entity/Q17418645,http://www.wikidata.org/entity/Q6167727
4632,female,male,1927-07-19T00:00:00Z,1942-01-01T00:00:00Z,14.465753424657533,mixed,http://www.wikidata.org/entity/Q61857482,https://orcid.org/0000-0002-3407-4978
4633,female,male,1927-07-19T00:00:00Z,1923-03-15T00:00:00Z,4.347945205479452,mixed,http://www.wikidata.org/entity/Q61857482,http://www.wikidata.org/entity/Q65617363
4634,male,male,1794-05-04T00:00:00Z,1804-04-07T00:00:00Z,9.931506849315069,m-m,http://www.wikidata.org/entity/Q60616,http://www.wikidata.org/entity/Q61390
4635,male,male,1901-04-05T00:00:00Z,1879-03-24T00:00:00Z,22.046575342465754,m-m,http://www.wikidata.org/entity/Q16658246,http://www.wikidata.org/entity/Q1161722
4636,male,male,1885-08-31T00:00:00Z,1926-12-04T00:00:00Z,41.28493150684932,m-m,http://www.wikidata.org/entity/Q951746,http://www.wikidata.org/entity/Q18763674
4637,male,male,1872-08-19T00:00:00Z,1867-05-28T00:00:00Z,5.232876712328767,m-m,http://www.wikidata.org/entity/Q20973529,http://www.wikidata.org/entity/Q1548577
4638,male,male,1867-05-28T00:00:00Z,1872-08-19T00:00:00Z,5.232876712328767,m-m,http://www.wikidata.org/entity/Q1548577,http://www.wikidata.org/entity/Q20973529
4639,male,male,1695-01-01T00:00:00Z,1741-08-01T00:00:00Z,46.61095890410959,m-m,http://www.wikidata.org/entity/Q2579338,http://www.wikidata.org/entity/Q926159
4640,male,male,1751-12-11T00:00:00Z,1744-11-13T00:00:00Z,7.079452054794521,m-m,http://www.wikidata.org/entity/Q2983613,http://www.wikidata.org/entity/Q9015455
4641,male,male,1751-12-11T00:00:00Z,1754-04-22T00:00:00Z,2.3643835616438356,m-m,http://www.wikidata.org/entity/Q2983613,http://www.wikidata.org/entity/Q332058
4642,male,male,1744-11-13T00:00:00Z,1751-12-11T00:00:00Z,7.079452054794521,m-m,http://www.wikidata.org/entity/Q9015455,http://www.wikidata.org/entity/Q2983613
4643,male,male,1761-10-05T00:00:00Z,1734-01-01T00:00:00Z,27.778082191780822,m-m,http://www.wikidata.org/entity/Q79107,http://www.wikidata.org/entity/Q1848893
